month_period,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-01,16825.0,16350.0,16175.0,16300.0,16500.0,17125.0,17425.0,18475.0,19300.0,19850.0,20075.0,20225.0,20250.0,20125.0,20100.0,21250.0,21325.0,21350.0,21350.0,21100.0,20300.0,19350.0,18250.0,17175.0
2022-02,17059.5,16595.5,16484.5,16530.0,16726.0,17487.5,18155.0,19442.5,20244.0,20514.5,20594.0,20601.0,20631.5,20044.5,19884.5,20583.5,21313.0,21322.0,21171.0,20747.0,19770.0,18938.5,17856.0,16820.0
2022-03,17025.0,16575.0,16500.0,16600.0,16500.0,17250.0,18125.0,18975.0,19325.0,19650.0,19800.0,19825.0,19825.0,19425.0,19125.0,19300.0,20075.0,20975.0,20925.0,20600.0,19700.0,18775.0,17850.0,16875.0
2022-04,15700.0,15600.0,15550.0,15600.0,15750.0,16900.0,18000.0,18900.0,19400.0,19400.0,19300.0,19250.0,18772.0,18650.0,18450.0,18400.0,18550.0,19800.0,19950.0,19400.0,18600.0,17550.0,16550.0,15850.0
2022-05,14250.0,14160.0,14034.0,13464.0,14150.0,15050.0,16000.0,16900.0,17400.0,17700.0,17800.0,17900.0,17550.0,17200.0,16800.0,17050.0,17300.0,17700.0,18150.0,18150.0,17350.0,16400.0,15050.0,14500.0
2022-06,14325.0,14175.0,13650.0,13750.0,14950.0,16175.0,17250.0,17900.0,18300.0,18350.0,18275.0,18300.0,17950.0,17875.0,17975.0,17950.0,18050.0,18175.0,18175.0,18225.0,17625.0,16500.0,15200.0,14525.0
2022-07,14950.0,14725.0,14325.0,14050.0,15300.0,16425.0,17425.0,18000.0,18275.0,18300.0,18300.0,18301.5,18050.0,17925.0,17825.0,17850.0,17950.0,18000.0,18000.0,18100.0,17850.0,16600.0,15200.0,14435.0
2022-08,14875.0,14675.0,14600.0,14400.0,15300.0,16375.0,17400.0,18200.0,18475.0,18650.0,18675.0,18650.0,18400.0,18150.0,18025.0,17925.0,18000.0,18325.0,18450.0,18125.0,17375.0,16225.0,14975.0,14375.0
2022-09,14500.0,14400.0,14400.0,14375.0,15100.0,16275.0,17450.0,18075.0,18375.0,18425.0,18425.0,18375.0,17900.0,17700.0,17550.0,17725.0,18350.0,19146.0,19017.5,18117.5,16892.0,15841.5,14750.0,14125.0
2022-10,14950.0,14750.0,14800.0,15125.0,15925.0,17025.0,18000.0,18575.0,18725.0,18725.0,18675.0,18550.0,18175.0,17975.0,18075.0,18725.0,19700.0,19775.0,19450.0,18600.0,17350.0,16325.0,15300.0,14675.0
2022-11,16225.0,15800.0,15700.0,15750.0,16050.0,16625.0,17550.0,18750.0,19475.0,19950.0,20100.0,20075.0,20150.0,19700.0,19975.0,20725.0,20700.5,20575.5,20425.0,20100.0,19075.0,18125.0,17150.0,16175.0
2022-12,16550.0,16150.0,16000.0,16150.0,16650.0,17100.0,17750.0,19000.0,19850.0,20400.0,20800.0,20900.0,20900.0,20850.0,21100.0,21300.0,21300.0,21300.0,21350.0,21200.0,20250.0,19500.0,18500.0,17250.0
2023-01,16200.0,15700.0,15500.0,15650.0,16103.0,17150.0,17600.0,18800.0,19750.0,20350.0,20500.0,20500.0,20450.0,20250.0,19850.0,20800.0,20800.0,20800.0,20800.0,20510.0,19452.0,18700.0,17700.0,16650.0
2023-02,16950.0,16500.0,16350.0,16525.0,16750.0,17475.0,18450.0,19700.0,20475.0,20875.0,20975.0,21000.0,21025.0,20575.0,20025.0,20525.0,21325.0,21325.0,21125.0,20750.0,19675.0,18675.0,17675.0,16600.0
2023-03,16475.0,16050.0,15925.0,16000.0,16075.0,16775.0,17900.0,18900.0,19450.0,19650.0,19775.0,19700.0,19575.0,19100.0,18625.0,18525.0,19525.0,20425.0,20425.0,20075.0,19175.0,18200.0,17200.0,16075.0
2023-04,14875.0,14750.0,14775.0,15012.5,15850.0,16950.0,18125.0,18753.5,18586.0,18434.5,18292.5,17922.5,17425.0,17112.0,17043.0,17675.0,17800.0,18616.5,18900.0,18208.0,17150.0,16075.0,14825.0,14125.0
2023-05,14225.0,14100.0,14025.0,13825.0,15050.0,16200.0,17125.0,17425.0,17425.0,17425.0,17125.0,16975.0,16800.0,16725.0,16550.0,16575.0,16800.0,17250.0,17800.0,17825.0,16925.0,15625.0,14325.0,13700.0
2023-06,13375.0,13200.0,12875.0,13175.0,14275.0,15550.0,16675.0,17200.0,17450.0,17475.0,17225.0,17125.0,16900.0,16725.0,16600.0,16600.0,16700.0,16800.0,17000.0,17025.0,16725.0,15375.0,13925.0,13325.0
2023-07,13834.5,13615.0,13396.0,13347.0,14326.5,15665.0,16562.0,16852.0,17143.5,17193.0,17032.5,17069.5,16898.0,16950.0,17000.0,17100.0,17275.0,17250.0,17250.0,17192.0,16650.0,15525.0,14350.0,13650.0
2023-08,14075.0,13846.5,13718.5,13489.5,14378.5,15380.0,16281.0,16659.5,16624.0,16684.0,16692.0,16614.5,16460.0,16465.0,16611.5,16830.5,17039.0,17628.0,17897.0,17743.0,16701.0,15500.5,14164.0,13420.0
2023-09,14844.0,14628.0,14620.0,14753.0,15764.0,17047.0,17967.0,17916.0,17748.0,17625.0,17573.0,17556.0,17149.0,17294.0,17500.0,17728.0,17977.0,18814.0,18530.0,17489.0,16403.0,15253.0,14141.0,13699.0
2023-10,13904.0,13785.0,13767.0,13751.0,14454.0,15435.0,16751.0,17652.0,17817.0,17977.0,18142.0,18234.0,18138.0,17956.0,17898.0,18083.0,18372.0,18348.0,18332.0,17294.0,16154.0,15143.0,14240.0,13835.0
2023-11,15707.0,15312.5,15223.5,15307.0,15465.5,15753.5,16573.5,17511.0,18281.0,18771.0,18997.5,19052.5,19191.5,19087.5,19294.5,20001.0,19976.0,19902.5,19795.0,19371.5,18427.5,17433.5,16491.0,15511.0
2023-12,16314.0,15734.0,15583.0,15683.0,16086.0,17011.5,17776.0,18910.0,19714.5,20192.0,20452.0,20619.0,20679.5,20732.0,20978.5,21122.0,21116.0,21114.0,21076.5,20722.5,19818.5,18554.0,17465.5,16238.5
2024-01,16815.5,16385.5,16241.5,16249.0,16474.5,16959.5,17421.5,18499.0,19649.0,20262.0,20673.0,20791.0,20860.5,20574.5,20315.5,21203.5,21445.5,21338.5,21212.0,20765.5,19848.5,18843.5,17824.5,16972.0
2024-02,16124.0,15756.0,15616.5,15514.0,15764.0,16407.5,17110.0,18304.5,19161.5,19284.0,19242.0,19538.0,19564.0,19399.5,19039.0,19593.0,19869.0,20255.5,20043.0,19596.0,18603.0,17703.0,16728.0,15750.5
2024-03,15052.5,14694.0,14658.5,14715.5,14889.5,15313.5,16099.0,17051.5,17752.5,17963.0,17981.0,18037.5,17992.0,17968.0,17901.5,17995.0,18862.0,19834.0,19836.0,19571.5,18656.5,17567.0,16466.0,15432.5
2024-04,15090.5,14957.5,14898.5,14956.0,15974.5,17006.5,17817.5,18108.0,18056.5,17913.0,17674.5,17489.5,17225.5,17222.5,17356.0,17578.0,17978.5,18858.0,19037.5,18289.0,16975.5,15776.0,14685.0,14030.0
2024-05,13711.0,13498.5,13359.5,13084.5,14184.5,15389.0,16049.0,16119.0,16137.5,16113.5,15996.5,16080.0,15903.5,15946.0,16082.5,16586.0,17083.0,17523.5,17925.0,17840.0,16842.5,15636.0,14454.0,13858.5
2024-06,13471.5,13324.0,13008.5,13070.0,13994.5,15067.0,16303.0,16828.5,16824.5,16851.5,16768.0,16623.5,16396.0,16401.0,16521.5,16781.5,17067.5,17260.5,17330.5,17295.5,16714.5,15556.5,14377.0,13676.0
